Timestamp,cpu_usage,mem_usage,net_in_rate,net_out_rate,disk_in_rate,disk_out_rate
1706406358,0.0000333644068004398,38801408,0,0,0,0
1706406363,0.00002683469748099099,38801408,0,0,0,0
1706406368,0.00003870409110289513,38801408,0,0,0,0
1706406373,0.00003405611040419508,38801408,0,0,0,0
1706406378,0.00005138761095191504,38801408,12.67886252490491,0,0,0
1706406383,0.000055277789359477935,38801408,0,0,0,0
1706406388,0.00005705214152247418,38801408,0,0,0,0
1706406393,0.00006234421074378661,38801408,0,0,0,0
1706406398,0.00005354631281969724,38801408,0,0,0,0
1706406403,0.00005841491472438967,38801408,0,0,0,0
1706406408,0.00004646105358143207,38801408,0,0,0,0
1706406413,0.000053203144763104504,38801408,0,0,0,0
1706406418,0.000057610516432333054,38801408,0,0,0,0
1706406423,0.00006913262299921676,38801408,0,0,0,0
1706406428,0.00005877314375225622,38801408,0,0,0,0
1706406433,0.00006189590987950929,38801408,0,0,0,0
1706406438,0.00005813623423343436,38801408,0,0,0,0
1706406443,0.000055214852611789097,38801408,0,0,0,0
1706406448,0.00007877130043410202,38801408,0,0,0,0
1706406453,0.00006496606380784902,38801408,0,0,0,0
1706406458,0.00005996452223487468,38801408,0,0,0,0
1706406463,0.000054115637020619196,38801408,0,0,0,0
1706406468,0.00006341288731056016,38801408,0,0,0,0
1706406473,0.00006741614801823828,38801408,0,0,0,0
1706406478,0.000060129350350589895,38801408,0,0,0,0
1706406483,0.00005131805630960821,38801408,0,0,0,0
1706406488,0.00005965831155358991,38801408,0,0,0,0
1706406493,0.00006489277838053805,38801408,0,0,0,0
1706406498,0.00005863361749407536,38801408,0,0,0,0
1706406503,0.00005388145352784484,38801408,0,0,0,0
1706406508,0.00006104913412242805,38801408,0,0,0,0
1706406513,0.00006583606222047402,38801408,0,0,0,0
1706406518,0.00005417440331261171,38801408,0,0,0,0
1706406523,0.00006074004235322996,38801408,0,0,0,0
1706406528,0.000057165683750767017,38801408,0,0,0,0
1706406533,0.00006126405867656228,38801408,0,0,0,0
1706406538,0.00006429324037844523,38801408,0,0,0,0
1706406543,0.000050359310899953206,38801408,0,0,0,0
1706406548,0.37768449669561843,56930304,0,0,0,0
1706406553,0.20550671374807652,52318208,0,0,8146660.172680982,0
1706406558,0.1553873387017373,51122176,0,0,8389900.410846343,0
1706406563,0.16572316844345902,50876416,0,0,8388018.005212035,0
1706406568,0.1607274415258625,50499584,0,0,8387993.976911494,0
1706406573,0.1617502384902809,50450432,0,0,8389070.095396101,0
1706406578,0.16549998005695904,50319360,0,0,8388714.692714693,0
1706406583,0.15681608730943766,50302976,0,0,8388244.704019006,0
1706406588,0.16793259189642998,50302976,0,0,8387047.6190476185,0
1706406593,0.15404064284347332,50069504,0,0,8391345.468480552,0
1706406598,0.15521480832307763,50036736,0,0,8386522.399020808,0
1706406603,0.15497564209385342,50020352,0,0,8389343.95942764,0
1706406608,0.16142066064811417,49987584,0,0,8389214.814814813,0
1706406613,0.16635067034571605,49954816,0,0,8387459.178704756,0
1706406618,0.16252313089772133,49954816,0,0,8390386.638830898,0
1706406623,0.14331718208422828,49922048,0,0,8388364.618501013,0
1706406628,0.16847215833329102,49905664,0,0,8388497.297297296,0
1706406633,0.1687144672971019,49905664,0,0,8386955.397951143,0
1706406638,0.17541920941996475,49905664,0,0,8389704.943557804,0
1706406643,0.168127658592626,49905664,0,0,8388717.477552725,0
1706406648,0.16699310238207538,49905664,0,0,8388075.125973431,0
1706406653,0.1643107015914815,49905664,0,0,8390281.167108754,0
1706406658,0.16860397377622924,49905664,0,0,8386774.825174825,0
1706406663,0.15863456061806935,49905664,0,0,8389984.15213946,0
1706406668,0.16335876382931094,49905664,0,0,8387644.825474586,0
1706406673,0.16640707273160774,49905664,0,0,8390929.163705284,0
1706406678,0.1629370016100339,49889280,0,0,8386545.161809692,0
1706406683,0.1775651378572043,49889280,0,0,8389973.333333332,0
1706406688,0.17139770002212376,49872896,0,0,8387393.831817174,0
1706406693,0.167599705011636,49872896,0,0,8390347.21928526,0
1706406698,0.16172384226052336,49872896,0,0,8387865.238317031,0
1706406703,0.15817864516129648,49856512,0,0,8387652.605459057,0
1706406708,0.16549803504095972,49840128,0,0,8390130.641782517,0
1706406713,0.1645261996030246,49840128,0,0,8387133.656815175,0
1706406718,0.1626053837816288,49840128,0,0,8390180.76253145,0
1706406723,0.15812539939593895,49840128,0,0,8387092.936802973,0
1706406728,0.16937146422406596,49840128,0,0,8387646.268943027,0
1706406733,0.7012970664238443,51863552,0,0,14991672.563302116,0
1706406738,0.34552088773235085,50786304,0,0,16777865.675340768,0
1706406743,0.32110917647059495,50233344,0,0,16775860.374919198,0
1706406748,0.30491215156276746,49971200,0,0,16775934.346079972,0
1706406753,0.2965789816386811,49938432,0,0,16778639.28923988,0
1706406758,0.3003256284224993,49889280,0,0,16779181.225554105,0
1706406763,0.29564439042765717,49889280,0,0,16776081.466395112,0
1706406768,0.3071958101467817,49889280,0,0,16777393.74601149,0
1706406773,0.2942194368624347,49872896,0,0,16777721.15166629,0
1706406778,0.3084736742370126,49872896,0,0,16776448.545067422,0
1706406783,0.30879916293279813,49872896,0,0,16777598.22255138,0
1706406788,0.3023147218331148,49872896,0,0,16777452.071242746,0
1706406793,0.30249127369127143,49872896,0,0,16775605.453627337,0
1706406798,0.3049706673850808,49856512,0,0,16777318.007662836,0
1706406803,0.3046063513023623,49856512,0,0,16776436.693091733,0
1706406808,0.30953568452270563,49856512,0,0,16778795.180722892,0
1706406813,0.3201191835909027,49840128,0,0,16775817.512877116,0
1706406818,0.31742223395033276,49840128,0,0,16780855.454903506,0
1706406823,0.3270539477272424,49807360,0,0,16775828.099173553,0
1706406828,0.325138234229467,49807360,0,0,16775248.745519713,0
1706406833,0.32257542282836066,49807360,0,0,16779976.07083034,0
1706406838,0.30160024546341285,49807360,0,0,16776416.780487806,0
1706406843,0.3063344524405657,49807360,0,0,16777879.015435964,0
1706406848,0.3067383993511798,49807360,0,0,16778424.449376814,0
1706406853,0.31256725010811137,49807360,0,0,16777130.998702982,0
1706406858,0.3268941227055547,49807360,0,0,16775370.379683178,0
1706406863,0.31376172728970175,49807360,0,0,16775991.028037384,0
1706406868,0.28789292919976767,49807360,0,0,16777694.0570693,0
1706406873,0.29765534489132817,49790976,0,0,16777882.57050393,0
1706406878,0.3174161376990363,49790976,0,0,16777157.210136803,0
1706406883,0.31870794098054334,49790976,0,0,16777808.662541647,0
1706406888,0.30885648059292686,49790976,0,0,16777062.609713282,0
1706406893,0.29307549954870626,49790976,0,0,16775855.595667869,0
1706406898,0.30890853194560935,49790976,0,0,16778186.709367495,0
1706406903,0.3102325364238186,49774592,0,0,16777735.50070239,0
1706406908,0.31177663074482215,49774592,0,0,16777186.325560335,0
1706406913,0.8391417583516595,52346880,0,0,21359177.4354871,0
1706406918,0.5463614224559599,51630080,0,0,25168890.984944675,0
1706406923,0.48413317627376357,51036160,0,0,25166740.971059553,0
1706406928,0.5100081094889837,50573312,0,0,25162457.04660303,0
1706406933,0.5313642849224377,50458624,0,0,25168149.002217297,0
1706406938,0.5456733927249173,50458624,0,0,25165380.975374214,0
1706406943,0.5714498746992909,50458624,0,0,25165365.40564181,0
1706406948,0.583616268582586,50458624,0,0,25164568.38744013,0
1706406953,0.5900360223412053,50327552,0,0,25168904.81731441,0
1706406958,0.5474801171348,50311168,0,0,25162799.042020466,0
1706406963,0.5638378796094878,50294784,0,0,25169520.17353579,0
1706406968,0.5520088665332588,50294784,0,0,25163665.02463054,0
1706406973,0.5567840080921724,50294784,0,0,25170613.04561059,0
1706406978,0.5831376179260802,50294784,0,0,25162865.554465163,0
1706406983,0.5513647544467911,50294784,0,0,25169252.945252948,0
1706406988,0.5710726691945217,50294784,0,0,25161142.85714286,0
1706406993,0.5147566462233581,50294784,0,0,25166557.3488272,0
1706406998,0.5179350681618966,50294784,0,0,25166679.51638339,0
1706407003,0.5353227504407246,50262016,0,0,25167332.419196863,0
1706407008,0.5545798760096727,50262016,0,0,25168232.633279484,0
1706407013,0.5401839668993706,50245632,0,0,25164436.83854988,0
1706407018,0.5016341120119665,50229248,0,0,25161517.38852144,0
1706407023,0.4779989044483426,50212864,0,0,25166687.00819014,0
1706407028,0.5103291617810404,50212864,0,0,25169557.52212389,0
1706407033,0.4884639148850628,50212864,0,0,25164416.383616384,0
1706407038,0.5104620092994823,50212864,0,0,25169365.571399048,0
1706407043,0.5599329129327769,50212864,0,0,25165512.559402578,0
1706407048,0.5421134765213855,50212864,0,0,25160862.48203162,0
1706407053,0.5249613039033167,50196480,0,0,25164514.498141263,0
1706407058,0.512057662067642,50196480,0,0,25168220.75222075,0
1706407063,0.511225710051573,50196480,0,0,25163656.357388318,0
1706407068,0.5232943894267762,50196480,0,0,25166921.766072813,0
1706407073,0.5301475284195148,50196480,0,0,25164790.612394575,0
1706407078,0.5383573240997509,50196480,0,0,25166761.95752539,0
1706407083,0.5346551289308249,50196480,0,0,25166785.744234804,0
1706407088,0.5067040241631442,50196480,0,0,25168212.31927114,0
1706407093,1.0108328071718837,53370880,0,0,29057212.44925575,0
1706407098,0.5502533977746642,51556352,0,0,33553344.72481621,0
1706407103,0.5591041581000876,51318784,0,0,33557322.47667515,0
1706407108,0.5753965863942465,50941952,0,0,33552302.54292545,0
1706407113,0.5897684947917022,50925568,0,0,33554172.83950617,0
1706407118,0.5949530179953588,50925568,0,0,33557399.380804956,0
1706407123,0.6594866041578258,50909184,0,0,33550011.03097157,0
1706407128,0.6653586482142922,50892800,0,0,33557942.85714285,0
1706407133,0.671357414154891,50892800,0,0,33549381.152231973,0
1706407138,0.656914791100348,50876416,0,0,33555017.68758145,0
1706407143,0.6601757015026004,50876416,0,0,33561663.15317336,0
1706407148,0.6538482185225831,50876416,0,0,33551072.10584344,0
1706407153,0.6706719485089145,50745344,0,0,33552751.77000644,0
1706407158,0.6725920900173911,50728960,0,0,33555966.461003006,0
1706407163,0.6507388077522891,50728960,0,0,33552709.289374027,0
1706407168,0.6674803191617076,50728960,0,0,33556132.53493014,0
1706407173,0.6569330508070211,50679808,0,0,33555345.56126192,0
1706407178,0.6718105063780321,50679808,0,0,33552525.705450326,0
1706407183,0.6715221031666676,50663424,0,0,33551958.573989246,0
1706407188,0.6682028969103667,50663424,0,0,33561402.25787284,0
1706407193,0.670292621265375,50663424,0,0,33554086.467486817,0
1706407198,0.6742854728921329,50647040,0,0,33554521.124206714,0
1706407203,0.6665821595176896,50647040,0,0,33555290.517041504,0
1706407208,0.6572092378756784,50647040,0,0,33553513.553383734,0
1706407213,0.6527101878973773,50647040,0,0,33554987.52060278,0
1706407218,0.6625778556067533,50647040,0,0,33553223.96313364,0
1706407223,0.6641923952745912,50630656,0,0,33556161.770966366,0
1706407228,0.6504247302739689,50630656,0,0,33554401.311168347,0
1706407233,0.6536481737978751,50597888,0,0,33549144.254278727,0
1706407238,0.6661657303051751,50597888,0,0,33555804.1163946,0
1706407243,0.6723980226233683,50597888,0,0,33554252.285191953,0
1706407248,0.6576308032650396,50597888,0,0,33556768.282525405,0
1706407253,0.6572261467626171,50597888,0,0,33555767.865707435,0
1706407258,0.6634035243923104,50597888,0,0,33552179.71500419,0
1706407263,0.6535543079519045,50597888,0,0,33552469.09934613,0
1706407268,0.6486167226738674,50597888,0,0,33559819.33152665,0
1706407273,1.0832275756627534,53395456,0,0,36327116.34756995,0
1706407278,0.8032630647255249,52244480,0,0,41944716.11253197,0
1706407283,0.7256878813760643,51544064,0,0,41941485.172004744,0
1706407288,0.7710706056478401,51269632,0,0,41942495.68106312,0
1706407293,0.792663502245505,50864128,0,0,41941077.84431138,0
1706407298,0.7931473037011099,50847744,0,0,41945012.92721799,0
1706407303,0.7851065142440983,50847744,0,0,41938645.04054897,0
1706407308,0.8034279354953849,50847744,0,0,41941667.85459729,0
1706407313,0.7980699670517778,50847744,0,0,41942373.98373983,0
1706407318,0.7813695456487787,50831360,0,0,41942626.26262627,0
1706407323,0.7687121128055456,50831360,0,0,41943811.616954476,0
1706407328,0.7769513661580749,50814976,0,0,41947546.925566345,0
1706407333,0.794155249300256,50700288,0,0,41941004.89853044,0
1706407338,0.7474545776573694,50683904,0,0,41948070.1754386,0
1706407343,0.704062316212657,50667520,0,0,41939975.05743354,0
1706407348,0.7198267334868742,50651136,0,0,41943627.240143366,0
1706407353,0.7288259927379245,50618368,0,0,41945330.42846768,0
1706407358,0.6987398139196411,50601984,0,0,41939526.803561695,0
1706407363,0.698281263871514,50601984,0,0,41945124.73925741,0
1706407368,0.7717856740826886,50601984,0,0,41941326.24937739,0
1706407373,0.7084448560276709,50585600,0,0,41951139.63573287,0
1706407378,0.7165820558608594,50585600,0,0,41941239.560439564,0
1706407383,0.7457663648648468,50585600,0,0,41939240.57390724,0
1706407388,0.6844553535851471,50585600,0,0,41949810.61850028,0
1706407393,0.6954344308576685,50585600,0,0,41940723.4307023,0
1706407398,0.7401323741987044,50585600,0,0,41943794.87179487,0
1706407403,0.6904564680507376,50585600,0,0,41948331.257208765,0
1706407408,0.6986042964557047,50585600,0,0,41938474.90268388,0
1706407413,0.7501689799774881,50585600,0,0,41943224.29696288,0
1706407418,0.7735964207107298,50569216,0,0,41942132.21245701,0
1706407423,0.751825229954317,50569216,0,0,41943040,0
1706407428,0.6999207030095264,50569216,0,0,41941740.85420796,0
1706407433,0.7686928495918328,50569216,0,0,41946383.67346939,0
1706407438,0.7706357354674246,50552832,0,0,41941366.84996072,0
1706407443,0.7662683591880708,50552832,0,0,41947241.02564103,0
1706407448,0.7302290731610185,50552832,0,0,41940434.19483101,0
1706407453,1.2362915154490781,53186560,0,0,42123558.3233533,0
1706407458,0.7870935101681464,51453952,0,0,50331782.55768479,0
1706407463,0.8033497914653962,50651136,0,0,50335123.99355878,0
1706407468,0.7680000228658324,50601984,0,0,50328975.6097561,0
1706407473,0.8000225165477428,50483200,0,0,50332158.33874107,0
1706407478,0.8537164372631159,50466816,0,0,50332510.315789476,0
1706407483,0.870138599335487,50450432,0,0,50326788.3875481,0
1706407488,0.8699496806227984,50335744,0,0,50336155.01730104,0
