Timestamp,cpu_usage,mem_usage,net_in_rate,net_out_rate,disk_in_rate,disk_out_rate
1706577951,0.0002014246749008801,10486657024,0,0,0,0
1706577956,0.00031128885190390295,10486657024,0,0,0,0
1706577961,0.00035513672051983475,10486657024,0,0,0,0
1706577966,0.9904907592523735,10486657024,6174958.970233306,13401891.391794046,0,0
1706577971,3.1771198778397265,10486657024,19841724.921356168,43405939.88116043,0,0
1706577976,3.2435089817897946,10486657024,19889053.217320923,43344924.72683124,0,0
1706577981,3.2582810790642505,10486657024,19875822.01187825,43384649.59168523,0,0
1706577986,3.226181649488567,10486657024,19849951.511198085,43372476.84279191,0,0
1706577991,3.2173081850251695,10486657024,19843750.659947205,43458580.03359731,0,0
1706577996,3.2288437493778326,10486657024,19808768.630705394,43443034.85477178,0,0
1706578001,3.2305973690571848,10486657024,19876506.05778192,43344764.911463186,0,0
1706578006,3.26330418128067,10486657024,19827205.818325747,43394199.88125866,0,0
1706578011,3.287531857550166,10486657024,19771375.825627476,43460988.991633646,0,0
1706578016,3.2767125237813732,10486657024,19802091.27706942,43420848.81602915,0,0
1706578021,3.2303410912834067,10486657024,19798181.53740563,43365075.32601235,0,0
1706578026,3.242571701700187,10486657024,19837476.559546314,43403154.253308125,0,0
1706578031,3.227254704424312,10486657024,19721548.560730167,43533077.229113035,0,0
1706578036,3.267445061296938,10486657024,19758923.511747044,43465262.32114468,0,0
1706578041,3.33483658645082,10486657024,19813255.8008982,43422194.049401194,0,0
1706578046,3.324585153068094,10486657024,19896860.613207545,43358522.169811316,0,0
1706578051,3.330884117151911,10486657024,19881203.36254695,43302130.74584153,0,0
1706578056,3.2175245327147337,10486657024,19841770.877944324,43351835.5936236,0,0
1706578061,3.2540799311528072,10486657024,19849537.005163513,43465159.63855422,0,0
1706578066,3.236176493422554,10486657024,19757156.197887715,43503222.345747635,0,0
1706578071,3.2449882229880216,10486657024,19813197.613846414,43458223.659889095,0,0
1706578076,3.25129104026924,10486657024,19883748.585111015,43343180.88811493,0,0
1706578081,3.1642999868322197,10486657024,19784127.090301003,43425878.97157191,0,0
1706578086,3.0940370604374148,10486657024,19836062.14088104,43423063.84337093,0,0
1706578091,3.096365928297705,10486657024,19798732.02614379,43412172.62591311,0,0
1706578096,3.0717890594504986,10486657024,19813695.196024295,43435264.86287502,0,0
1706578101,3.0528087311453547,10486657024,19818059.517701384,43434899.69214982,0,0
1706578106,3.126700516322349,10486657024,19882605.388272583,43356966.87797148,0,0
1706578111,3.242565958477755,10486657024,19790555.72289157,43429041.3080895,0,0
1706578116,3.2404112830032115,10486657024,19877776.647760607,43379451.78955603,0,0
1706578121,3.245824906752141,10486657024,19890460.2357985,43344714.46945338,0,0
1706578126,3.259649878208133,10486657024,19821304.58561212,43468057.21497686,0,0
1706578131,3.260750660845165,10486657024,19816514.15974224,43413007.80057656,0,0
1706578136,3.26625477036939,10486657024,19773157.750342935,43454169.547325104,0,0
1706578141,3.239054930470832,10486657024,19867984.602917343,43375611.3452188,0,0
1706578146,3.217331216565226,10486657024,19778008.484036613,43424567.314132616,0,0
1706578151,3.3180297523072384,10486657024,19823882.130872484,43426004.61409396,0,0
1706578156,3.352492544624291,10486657024,19753401.26493324,43534324.90044507,0,0
1706578161,3.3458907955296295,10486657024,19822635.44781993,43470538.328348815,0,0
1706578166,3.3550322146845195,10486657024,19814064.66641819,43451343.08609766,0,0
1706578171,3.352709706473026,10486657024,19840843.85733157,43375361.426684275,0,0
