cpu_usage_x,mem_usage_x,net_in_rate_x,net_out_rate_x,disk_in_rate_x,disk_out_rate_x,cpu_usage_y,mem_usage_y,net_in_rate_y,net_out_rate_y,disk_in_rate_y,disk_out_rate_y,avg_lat
3.25,9.77,158.4,347.1,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.39,347.01,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.23,9.77,158.39,346.92,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.23,9.77,158.45,346.98,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.51,347.04,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.57,347.1,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.64,347.16,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.7,347.23,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.51,347.43,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.33,347.64,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.23,9.77,158.14,347.85,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.9888071117507641
3.23,9.77,157.96,348.06,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.23,9.77,157.77,348.26,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,157.83,348.16,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,157.89,348.05,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.25,9.77,157.95,347.94,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.26,9.77,158.01,347.83,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.9904360284874093
3.27,9.77,158.07,347.72,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.9961613863856195
3.28,9.77,158.16,347.65,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.866102514850705
3.29,9.77,158.25,347.58,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.9675869377264548
3.31,9.77,158.33,347.52,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.32,9.77,158.42,347.45,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.33,9.77,158.51,347.38,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.33,9.77,158.64,347.28,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.33,9.77,158.77,347.17,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.9619854049511222
3.33,9.77,158.91,347.07,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.9614180009628369
3.33,9.77,159.04,346.97,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.32,9.77,159.17,346.87,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.33,9.77,159.15,346.78,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.33,9.77,159.12,346.69,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.33,9.77,159.1,346.6,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.33,9.77,159.07,346.51,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.33,9.77,159.05,346.42,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.31,9.77,158.99,346.5,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.29,9.77,158.92,346.58,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.26,9.77,158.86,346.66,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.8,346.74,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.9714436645084087
3.22,9.77,158.73,346.81,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
