1706414707Connecting to host 11.11.11.16, port 5201
1706414708[  5] local 172.17.0.2 port 41796 connected to 11.11.11.16 port 5201
1706414709[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
1706414769[  5]  60.00-61.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414770[  5]  61.00-62.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414771[  5]  62.00-63.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414772[  5]  63.00-64.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414773[  5]  64.00-65.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414774[  5]  65.00-66.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414775[  5]  66.00-67.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414776[  5]  67.00-68.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414777[  5]  68.00-69.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414778[  5]  69.00-70.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414779[  5]  70.00-71.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414780[  5]  71.00-72.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414781[  5]  72.00-73.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414782[  5]  73.00-74.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414783[  5]  74.00-75.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414784[  5]  75.00-76.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414785[  5]  76.00-77.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414786[  5]  77.00-78.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414787[  5]  78.00-79.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414788[  5]  79.00-80.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414789[  5]  80.00-81.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414790[  5]  81.00-82.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414791[  5]  82.00-83.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414792[  5]  83.00-84.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414793[  5]  84.00-85.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414794[  5]  85.00-86.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414795[  5]  86.00-87.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414796[  5]  87.00-88.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414797[  5]  88.00-89.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414798[  5]  89.00-90.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414799[  5]  90.00-91.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414800[  5]  91.00-92.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414801[  5]  92.00-93.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414802[  5]  93.00-94.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414803[  5]  94.00-95.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414804[  5]  95.00-96.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414805[  5]  96.00-97.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414806[  5]  97.00-98.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414807[  5]  98.00-99.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414808[  5]  99.00-100.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414809[  5] 100.00-101.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414810[  5] 101.00-102.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414811[  5] 102.00-103.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414812[  5] 103.00-104.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414813[  5] 104.00-105.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414814[  5] 105.00-106.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414815[  5] 106.00-107.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414816[  5] 107.00-108.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414817[  5] 108.00-109.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414818[  5] 109.00-110.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414819[  5] 110.00-111.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414820[  5] 111.00-112.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414821[  5] 112.00-113.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414822[  5] 113.00-114.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414823[  5] 114.00-115.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414824[  5] 115.00-116.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414825[  5] 116.00-117.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414826[  5] 117.00-118.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414827[  5] 118.00-119.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414828[  5] 119.00-120.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414829[  5] 120.00-121.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414830[  5] 121.00-122.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414831[  5] 122.00-123.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414832[  5] 123.00-124.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414833[  5] 124.00-125.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414834[  5] 125.00-126.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414835[  5] 126.00-127.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414836[  5] 127.00-128.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414837[  5] 128.00-129.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414838[  5] 129.00-130.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414839[  5] 130.00-131.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414840[  5] 131.00-132.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414841[  5] 132.00-133.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414842[  5] 133.00-134.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414843[  5] 134.00-135.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414844[  5] 135.00-136.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414845[  5] 136.00-137.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414846[  5] 137.00-138.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414847[  5] 138.00-139.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414848[  5] 139.00-140.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414849[  5] 140.00-141.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414850[  5] 141.00-142.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414851[  5] 142.00-143.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414852[  5] 143.00-144.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414853[  5] 144.00-145.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414854[  5] 145.00-146.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414855[  5] 146.00-147.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414856[  5] 147.00-148.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414857[  5] 148.00-149.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414858[  5] 149.00-150.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414859[  5] 150.00-151.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414860[  5] 151.00-152.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414861[  5] 152.00-153.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414862[  5] 153.00-154.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414863[  5] 154.00-155.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414864[  5] 155.00-156.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414865[  5] 156.00-157.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414866[  5] 157.00-158.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414867[  5] 158.00-159.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414868[  5] 159.00-160.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414869[  5] 160.00-161.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414870[  5] 161.00-162.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414871[  5] 162.00-163.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414872[  5] 163.00-164.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414873[  5] 164.00-165.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414874[  5] 165.00-166.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414875[  5] 166.00-167.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414876[  5] 167.00-168.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
