1706414707Connecting to host 11.11.11.16, port 5201
1706414708[  5] local 172.17.0.2 port 41796 connected to 11.11.11.16 port 5201
1706414709[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
1706415680[  5]  71.00-72.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415681[  5]  72.00-73.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415682[  5]  73.00-74.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415683[  5]  74.00-75.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415684[  5]  75.00-76.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415685[  5]  76.00-77.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415686[  5]  77.00-78.00  sec  35.9 MBytes   301 Mbits/sec    0    141 KBytes       
1706415687[  5]  78.00-79.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415688[  5]  79.00-80.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415689[  5]  80.00-81.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415690[  5]  81.00-82.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415691[  5]  82.00-83.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415692[  5]  83.00-84.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415693[  5]  84.00-85.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415694[  5]  85.00-86.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415695[  5]  86.00-87.00  sec  35.8 MBytes   300 Mbits/sec    0    141 KBytes       
1706415696[  5]  87.00-88.00  sec  35.9 MBytes   301 Mbits/sec    0    154 KBytes       
1706415697[  5]  88.00-89.00  sec  35.8 MBytes   300 Mbits/sec    0    154 KBytes       
1706415698[  5]  89.00-90.00  sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415699[  5]  90.00-91.00  sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415700[  5]  91.00-92.00  sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415701[  5]  92.00-93.00  sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415702[  5]  93.00-94.00  sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415703[  5]  94.00-95.00  sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415704[  5]  95.00-96.00  sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415705[  5]  96.00-97.00  sec  35.9 MBytes   301 Mbits/sec    0    178 KBytes       
1706415706[  5]  97.00-98.00  sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415707[  5]  98.00-99.00  sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415708[  5]  99.00-100.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415709[  5] 100.00-101.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415710[  5] 101.00-102.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415711[  5] 102.00-103.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415712[  5] 103.00-104.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415713[  5] 104.00-105.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415714[  5] 105.00-106.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415715[  5] 106.00-107.00 sec  35.9 MBytes   301 Mbits/sec    0    178 KBytes       
1706415716[  5] 107.00-108.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415717[  5] 108.00-109.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415718[  5] 109.00-110.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415719[  5] 110.00-111.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415720[  5] 111.00-112.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415721[  5] 112.00-113.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415722[  5] 113.00-114.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415723[  5] 114.00-115.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415724[  5] 115.00-116.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415725[  5] 116.00-117.00 sec  35.9 MBytes   301 Mbits/sec    0    178 KBytes       
1706415726[  5] 117.00-118.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415727[  5] 118.00-119.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415728[  5] 119.00-120.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415729[  5] 120.00-121.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415730[  5] 121.00-122.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415731[  5] 122.00-123.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415732[  5] 123.00-124.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415733[  5] 124.00-125.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415734[  5] 125.00-126.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415735[  5] 126.00-127.00 sec  35.9 MBytes   301 Mbits/sec    0    178 KBytes       
1706415736[  5] 127.00-128.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415737[  5] 128.00-129.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415738[  5] 129.00-130.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415739[  5] 130.00-131.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415740[  5] 131.00-132.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415741[  5] 132.00-133.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415742[  5] 133.00-134.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415743[  5] 134.00-135.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415744[  5] 135.00-136.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415745[  5] 136.00-137.00 sec  35.9 MBytes   301 Mbits/sec    0    178 KBytes       
1706415746[  5] 137.00-138.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415747[  5] 138.00-139.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415748[  5] 139.00-140.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415749[  5] 140.00-141.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415750[  5] 141.00-142.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415751[  5] 142.00-143.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415752[  5] 143.00-144.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415753[  5] 144.00-145.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415754[  5] 145.00-146.00 sec  35.9 MBytes   301 Mbits/sec    0    178 KBytes       
1706415755[  5] 146.00-147.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415756[  5] 147.00-148.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415757[  5] 148.00-149.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415758[  5] 149.00-150.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415759[  5] 150.00-151.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415760[  5] 151.00-152.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415761[  5] 152.00-153.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415762[  5] 153.00-154.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415763[  5] 154.00-155.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415764[  5] 155.00-156.00 sec  35.9 MBytes   301 Mbits/sec    0    178 KBytes       
1706415765[  5] 156.00-157.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415766[  5] 157.00-158.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415767[  5] 158.00-159.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415768[  5] 159.00-160.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415769[  5] 160.00-161.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415770[  5] 161.00-162.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415771[  5] 162.00-163.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415772[  5] 163.00-164.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415773[  5] 164.00-165.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415774[  5] 165.00-166.00 sec  35.9 MBytes   301 Mbits/sec    0    178 KBytes       
1706415775[  5] 166.00-167.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415776[  5] 167.00-168.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415777[  5] 168.00-169.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415778[  5] 169.00-170.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415779[  5] 170.00-171.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415780[  5] 171.00-172.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415781[  5] 172.00-173.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415782[  5] 173.00-174.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415783[  5] 174.00-175.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415784[  5] 175.00-176.00 sec  35.9 MBytes   301 Mbits/sec    0    178 KBytes       
1706415785[  5] 176.00-177.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415786[  5] 177.00-178.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415787[  5] 178.00-179.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415789[  5] 179.00-180.00 sec  35.8 MBytes   300 Mbits/sec    0    178 KBytes       
1706415789- - - - - - - - - - - - - - - - - - - - - - - - -
1706415789[ ID] Interval           Transfer     Bitrate         Retr
1706415789[  5]   0.00-180.00 sec  6.29 GBytes   300 Mbits/sec    0             sender
1706415789[  5]   0.00-180.04 sec  6.29 GBytes   300 Mbits/sec                  receiver
1706415789
1706415789iperf Done.
1706415789Connecting to host 11.11.11.16, port 5201
1706415789[  5] local 172.17.0.2 port 33004 connected to 11.11.11.16 port 5201
1706415790[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
1706415790[  5]   0.00-1.00   sec  41.7 MBytes   350 Mbits/sec    0    178 KBytes       
1706415791[  5]   1.00-2.00   sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415792[  5]   2.00-3.00   sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415793[  5]   3.00-4.00   sec  41.6 MBytes   349 Mbits/sec    0    178 KBytes       
1706415794[  5]   4.00-5.00   sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415795[  5]   5.00-6.00   sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415796[  5]   6.00-7.00   sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415797[  5]   7.00-8.00   sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415798[  5]   8.00-9.00   sec  41.6 MBytes   349 Mbits/sec    0    178 KBytes       
1706415799[  5]   9.00-10.00  sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415800[  5]  10.00-11.00  sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415801[  5]  11.00-12.00  sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415802[  5]  12.00-13.00  sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415803[  5]  13.00-14.00  sec  41.6 MBytes   349 Mbits/sec    0    178 KBytes       
1706415804[  5]  14.00-15.00  sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415805[  5]  15.00-16.00  sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415806[  5]  16.00-17.00  sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415807[  5]  17.00-18.00  sec  41.6 MBytes   349 Mbits/sec    0    178 KBytes       
1706415808[  5]  18.00-19.00  sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415809[  5]  19.00-20.00  sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415810[  5]  20.00-21.00  sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415811[  5]  21.00-22.00  sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415812[  5]  22.00-23.00  sec  41.6 MBytes   349 Mbits/sec    0    178 KBytes       
1706415813[  5]  23.00-24.00  sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415814[  5]  24.00-25.00  sec  41.8 MBytes   350 Mbits/sec    0    178 KBytes       
1706415815[  5]  25.00-26.00  sec  41.8 MBytes   350 Mbits/sec    0    187 KBytes       
1706415816[  5]  26.00-27.00  sec  41.8 MBytes   350 Mbits/sec    0    187 KBytes       
1706415817[  5]  27.00-28.00  sec  41.6 MBytes   349 Mbits/sec    0    187 KBytes       
1706415818[  5]  28.00-29.00  sec  41.8 MBytes   350 Mbits/sec    0    187 KBytes       
1706415819[  5]  29.00-30.00  sec  41.8 MBytes   350 Mbits/sec    0    187 KBytes       
1706415820[  5]  30.00-31.00  sec  41.8 MBytes   350 Mbits/sec    0    187 KBytes       
1706415821[  5]  31.00-32.00  sec  41.6 MBytes   349 Mbits/sec    0    187 KBytes       
1706415822[  5]  32.00-33.00  sec  41.8 MBytes   350 Mbits/sec    0    187 KBytes       
1706415823[  5]  33.00-34.00  sec  41.8 MBytes   350 Mbits/sec    0    187 KBytes       
1706415824[  5]  34.00-35.00  sec  41.8 MBytes   350 Mbits/sec    0    187 KBytes       
1706415825[  5]  35.00-36.00  sec  41.8 MBytes   350 Mbits/sec    0    187 KBytes       
1706415826[  5]  36.00-37.00  sec  41.6 MBytes   349 Mbits/sec    0    199 KBytes       
1706415827[  5]  37.00-38.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415828[  5]  38.00-39.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415829[  5]  39.00-40.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415830[  5]  40.00-41.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415831[  5]  41.00-42.00  sec  41.6 MBytes   349 Mbits/sec    0    199 KBytes       
1706415832[  5]  42.00-43.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415833[  5]  43.00-44.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415834[  5]  44.00-45.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415835[  5]  45.00-46.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415836[  5]  46.00-47.00  sec  41.6 MBytes   349 Mbits/sec    0    199 KBytes       
1706415837[  5]  47.00-48.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415838[  5]  48.00-49.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415839[  5]  49.00-50.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415840[  5]  50.00-51.00  sec  41.6 MBytes   349 Mbits/sec    0    199 KBytes       
1706415841[  5]  51.00-52.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415842[  5]  52.00-53.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415843[  5]  53.00-54.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415844[  5]  54.00-55.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415845[  5]  55.00-56.00  sec  41.6 MBytes   349 Mbits/sec    0    199 KBytes       
1706415846[  5]  56.00-57.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415847[  5]  57.00-58.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415848[  5]  58.00-59.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415849[  5]  59.00-60.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415850[  5]  60.00-61.00  sec  41.6 MBytes   349 Mbits/sec    0    199 KBytes       
1706415851[  5]  61.00-62.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415852[  5]  62.00-63.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415853[  5]  63.00-64.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415854[  5]  64.00-65.00  sec  41.6 MBytes   349 Mbits/sec    0    199 KBytes       
1706415855[  5]  65.00-66.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415856[  5]  66.00-67.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415857[  5]  67.00-68.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415858[  5]  68.00-69.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415859[  5]  69.00-70.00  sec  41.6 MBytes   349 Mbits/sec    0    199 KBytes       
1706415860[  5]  70.00-71.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415861[  5]  71.00-72.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415862[  5]  72.00-73.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415863[  5]  73.00-74.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415864[  5]  74.00-75.00  sec  41.6 MBytes   349 Mbits/sec    0    199 KBytes       
1706415865[  5]  75.00-76.00  sec  41.8 MBytes   350 Mbits/sec    0    199 KBytes       
1706415866[  5]  76.00-77.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415867[  5]  77.00-78.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415868[  5]  78.00-79.00  sec  41.6 MBytes   349 Mbits/sec    0    209 KBytes       
1706415869[  5]  79.00-80.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415870[  5]  80.00-81.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415871[  5]  81.00-82.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415872[  5]  82.00-83.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415873[  5]  83.00-84.00  sec  41.6 MBytes   349 Mbits/sec    0    209 KBytes       
1706415874[  5]  84.00-85.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415875[  5]  85.00-86.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415876[  5]  86.00-87.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415877[  5]  87.00-88.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415878[  5]  88.00-89.00  sec  41.6 MBytes   349 Mbits/sec    0    209 KBytes       
1706415879[  5]  89.00-90.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415880[  5]  90.00-91.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415881[  5]  91.00-92.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415882[  5]  92.00-93.00  sec  41.6 MBytes   349 Mbits/sec    0    209 KBytes       
1706415883[  5]  93.00-94.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415884[  5]  94.00-95.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415885[  5]  95.00-96.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415886[  5]  96.00-97.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415887[  5]  97.00-98.00  sec  41.6 MBytes   349 Mbits/sec    0    209 KBytes       
1706415888[  5]  98.00-99.00  sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415889[  5]  99.00-100.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415890[  5] 100.00-101.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415891[  5] 101.00-102.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415892[  5] 102.00-103.00 sec  41.6 MBytes   349 Mbits/sec    0    209 KBytes       
1706415893[  5] 103.00-104.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415894[  5] 104.00-105.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415895[  5] 105.00-106.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415896[  5] 106.00-107.00 sec  41.6 MBytes   349 Mbits/sec    0    209 KBytes       
1706415897[  5] 107.00-108.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415898[  5] 108.00-109.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415899[  5] 109.00-110.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415900[  5] 110.00-111.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415901[  5] 111.00-112.00 sec  41.6 MBytes   349 Mbits/sec    0    209 KBytes       
1706415902[  5] 112.00-113.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415903[  5] 113.00-114.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415904[  5] 114.00-115.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415905[  5] 115.00-116.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415906[  5] 116.00-117.00 sec  41.6 MBytes   349 Mbits/sec    0    209 KBytes       
1706415907[  5] 117.00-118.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415908[  5] 118.00-119.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415909[  5] 119.00-120.00 sec  41.8 MBytes   350 Mbits/sec    0    209 KBytes       
1706415910[  5] 120.00-121.00 sec  41.6 MBytes   349 Mbits/sec    0    221 KBytes       
1706415911[  5] 121.00-122.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415912[  5] 122.00-123.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415913[  5] 123.00-124.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415914[  5] 124.00-125.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415915[  5] 125.00-126.00 sec  41.6 MBytes   349 Mbits/sec    0    221 KBytes       
1706415916[  5] 126.00-127.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415917[  5] 127.00-128.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415918[  5] 128.00-129.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415919[  5] 129.00-130.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415920[  5] 130.00-131.00 sec  41.6 MBytes   349 Mbits/sec    0    221 KBytes       
1706415921[  5] 131.00-132.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415922[  5] 132.00-133.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415923[  5] 133.00-134.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415924[  5] 134.00-135.00 sec  41.6 MBytes   349 Mbits/sec    0    221 KBytes       
1706415925[  5] 135.00-136.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415926[  5] 136.00-137.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415927[  5] 137.00-138.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415928[  5] 138.00-139.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415929[  5] 139.00-140.00 sec  41.6 MBytes   349 Mbits/sec    0    221 KBytes       
1706415930[  5] 140.00-141.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415931[  5] 141.00-142.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415932[  5] 142.00-143.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415933[  5] 143.00-144.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415934[  5] 144.00-145.00 sec  41.6 MBytes   349 Mbits/sec    0    221 KBytes       
1706415935[  5] 145.00-146.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415936[  5] 146.00-147.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415937[  5] 147.00-148.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415938[  5] 148.00-149.00 sec  41.6 MBytes   349 Mbits/sec    0    221 KBytes       
1706415939[  5] 149.00-150.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415940[  5] 150.00-151.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415941[  5] 151.00-152.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415942[  5] 152.00-153.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415943[  5] 153.00-154.00 sec  41.6 MBytes   349 Mbits/sec    0    221 KBytes       
1706415944[  5] 154.00-155.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415945[  5] 155.00-156.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415946[  5] 156.00-157.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415947[  5] 157.00-158.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415948[  5] 158.00-159.00 sec  41.6 MBytes   349 Mbits/sec    0    221 KBytes       
1706415949[  5] 159.00-160.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415950[  5] 160.00-161.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415951[  5] 161.00-162.00 sec  41.8 MBytes   350 Mbits/sec    0    221 KBytes       
1706415952[  5] 162.00-163.00 sec  41.6 MBytes   349 Mbits/sec    0    233 KBytes       
1706415953[  5] 163.00-164.00 sec  41.8 MBytes   350 Mbits/sec    0    233 KBytes       
1706415954[  5] 164.00-165.00 sec  41.8 MBytes   350 Mbits/sec    0    233 KBytes       
1706415955[  5] 165.00-166.00 sec  41.8 MBytes   350 Mbits/sec    0    233 KBytes       
1706415956[  5] 166.00-167.00 sec  41.8 MBytes   350 Mbits/sec    0    233 KBytes       
1706415957[  5] 167.00-168.00 sec  41.6 MBytes   349 Mbits/sec    0    233 KBytes       
1706415958[  5] 168.00-169.00 sec  41.8 MBytes   350 Mbits/sec    0    245 KBytes       
